Japanese Titles,Genres,Number of Episodes,Image
Tate no Yuusha no Nariagari Season 3,Action-Adventure-Drama-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1317/139802.jpg
Goblin Slayer II,Action-Adventure-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1100/138338.jpg
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1622/139331.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Jujutsu Kaisen 2nd Season,Action-Fantasy-,23,nan
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Action-Comedy-Horror-Supernatural-Suspense-,12,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
Dark Gathering,Horror-Supernatural-,25,nan
Sousou no Frieren,Adventure-Drama-Fantasy-,28,https://cdn.myanimelist.net/images/anime/1015/138006.jpg
Spy x Family Season 2,Action-Comedy-,12,https://cdn.myanimelist.net/images/anime/1506/138982.jpg
Tate no Yuusha no Nariagari Season 3,Action-Adventure-Drama-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1317/139802.jpg
Goblin Slayer II,Action-Adventure-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1100/138338.jpg
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1622/139331.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Jujutsu Kaisen 2nd Season,Action-Fantasy-,23,nan
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Action-Comedy-Horror-Supernatural-Suspense-,12,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
Dark Gathering,Horror-Supernatural-,25,nan
Pluto,Action-Mystery-Sci-Fi-Suspense-,8,nan
Tensei shitara Slime Datta Ken: Coleus no Yume,Action-Adventure-Comedy-Fantasy-,3,nan
Good Night World,Drama-Fantasy-,12,nan
Tian Guan Cifu Er,Action-Adventure-Drama-Fantasy-,12,nan
Xian Wang de Richang Shenghuo 4,Adventure-Comedy-Fantasy-,?,nan
Sousou no Frieren,Adventure-Drama-Fantasy-,28,https://cdn.myanimelist.net/images/anime/1015/138006.jpg
Spy x Family Season 2,Action-Comedy-,12,https://cdn.myanimelist.net/images/anime/1506/138982.jpg
Tate no Yuusha no Nariagari Season 3,Action-Adventure-Drama-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1317/139802.jpg
Goblin Slayer II,Action-Adventure-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1100/138338.jpg
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1622/139331.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Jujutsu Kaisen 2nd Season,Action-Fantasy-,23,nan
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Action-Comedy-Horror-Supernatural-Suspense-,12,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
Dark Gathering,Horror-Supernatural-,25,nan
Pluto,Action-Mystery-Sci-Fi-Suspense-,8,nan
Tensei shitara Slime Datta Ken: Coleus no Yume,Action-Adventure-Comedy-Fantasy-,3,nan
Good Night World,Drama-Fantasy-,12,nan
Tian Guan Cifu Er,Action-Adventure-Drama-Fantasy-,12,nan
Xian Wang de Richang Shenghuo 4,Adventure-Comedy-Fantasy-,?,nan
Mask Danshi wa Koishitakunai noni,Boys Love-,1,nan
Tsuma ni Damatte Sokubaikai ni Ikun ja Nakatta,Hentai-,2,nan
Hatsukoi Jikan,Hentai-,6,nan
Sweet and Hot,Hentai-,?,nan
Doukyo Suru Neneki,Hentai-,?,nan
Sousou no Frieren,Adventure-Drama-Fantasy-,28,https://cdn.myanimelist.net/images/anime/1015/138006.jpg
Spy x Family Season 2,Action-Comedy-,12,https://cdn.myanimelist.net/images/anime/1506/138982.jpg
Tate no Yuusha no Nariagari Season 3,Action-Adventure-Drama-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1317/139802.jpg
Goblin Slayer II,Action-Adventure-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1100/138338.jpg
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1622/139331.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Jujutsu Kaisen 2nd Season,Action-Fantasy-,23,nan
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Action-Comedy-Horror-Supernatural-Suspense-,12,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
Dark Gathering,Horror-Supernatural-,25,nan
Pluto,Action-Mystery-Sci-Fi-Suspense-,8,nan
Tensei shitara Slime Datta Ken: Coleus no Yume,Action-Adventure-Comedy-Fantasy-,3,nan
Good Night World,Drama-Fantasy-,12,nan
Tian Guan Cifu Er,Action-Adventure-Drama-Fantasy-,12,nan
Xian Wang de Richang Shenghuo 4,Adventure-Comedy-Fantasy-,?,nan
Mask Danshi wa Koishitakunai noni,Boys Love-,1,nan
Tsuma ni Damatte Sokubaikai ni Ikun ja Nakatta,Hentai-,2,nan
Hatsukoi Jikan,Hentai-,6,nan
Sweet and Hot,Hentai-,?,nan
Doukyo Suru Neneki,Hentai-,?,nan
Spy x Family Movie: Code: White,Action-Comedy-,1,nan
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,Drama-Romance-Supernatural-,1,nan
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta… Movie,Comedy-Fantasy-Romance-,1,nan
Girls & Panzer: Saishuushou Part 4,nan,1,nan
Boku no Hero Academia: UA Heroes Battle,Action-,1,nan
Sousou no Frieren,Adventure-Drama-Fantasy-,28,https://cdn.myanimelist.net/images/anime/1015/138006.jpg
Spy x Family Season 2,Action-Comedy-,12,https://cdn.myanimelist.net/images/anime/1506/138982.jpg
Tate no Yuusha no Nariagari Season 3,Action-Adventure-Drama-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1317/139802.jpg
Goblin Slayer II,Action-Adventure-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1100/138338.jpg
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1622/139331.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Jujutsu Kaisen 2nd Season,Action-Fantasy-,23,nan
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Action-Comedy-Horror-Supernatural-Suspense-,12,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
Dark Gathering,Horror-Supernatural-,25,nan
Pluto,Action-Mystery-Sci-Fi-Suspense-,8,nan
Tensei shitara Slime Datta Ken: Coleus no Yume,Action-Adventure-Comedy-Fantasy-,3,nan
Good Night World,Drama-Fantasy-,12,nan
Tian Guan Cifu Er,Action-Adventure-Drama-Fantasy-,12,nan
Xian Wang de Richang Shenghuo 4,Adventure-Comedy-Fantasy-,?,nan
Mask Danshi wa Koishitakunai noni,Boys Love-,1,nan
Tsuma ni Damatte Sokubaikai ni Ikun ja Nakatta,Hentai-,2,nan
Hatsukoi Jikan,Hentai-,6,nan
Sweet and Hot,Hentai-,?,nan
Doukyo Suru Neneki,Hentai-,?,nan
Spy x Family Movie: Code: White,Action-Comedy-,1,nan
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,Drama-Romance-Supernatural-,1,nan
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta… Movie,Comedy-Fantasy-Romance-,1,nan
Girls & Panzer: Saishuushou Part 4,nan,1,nan
Boku no Hero Academia: UA Heroes Battle,Action-,1,nan
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Action-Drama-Suspense-,2,nan
Burn the Witch #0.8,Action-Fantasy-,1,nan
Temple Specials,Comedy-Romance-Ecchi-,2,nan
"Jashin-chan Dropkick ""Seikimatsu-hen""",Comedy-Supernatural-,1,nan
One Piece: Dai Tokushuu! Momonosuke no Mei Shogun e no Michi,Action-Adventure-Comedy-Fantasy-,1,nan
